Country,men_exit,men_years_after,women_exit,women_years_after
A. Saudí,58.86,19.02,51.30,27.99
Alemania,63.13,20.13,63.18,23.09
Argentina,62.41,17.54,62.78,21.67
Australia,64.06,21.26,63.33,24.54
Austria,62.04,21.20,60.74,25.25
Bélgica,60.94,22.20,60.13,26.19
Brasil,62.00,19.18,59.22,24.95
Canadá,63.94,20.65,62.63,24.51
Chile,64.60,19.03,60.93,24.68
China,65.48,14.79,60.55,21.93
Colombia,66.66,17.18,60.29,24.12
Corea S.,65.70,18.44,64.86,23.25
Costa Rica,66.71,18.00,61.66,24.66
Dinamarca,63.84,19.27,63.48,22.22
EEUU,64.88,18.57,64.74,21.33
Eslovaquia,60.16,18.91,59.77,23.84
Eslovenia,61.54,20.73,60.48,25.61
España,61.03,22.96,60.44,27.69
Estonia,64.09,16.82,65.42,20.62
Finlandia,62.97,20.69,63.56,23.70
Francia,60.36,23.51,60.90,27.11
Grecia,60.87,22.97,58.15,28.45
Hungría,62.07,17.13,59.69,23.50
India,67.32,12.86,67.15,13.90
Indonesia,68.68,11.47,69.21,13.20
Irlanda,63.59,20.49,63.80,22.54
Islandia,65.99,19.05,63.53,23.04
Israel,65.42,19.77,64.85,22.05
Italia,62.27,22.10,61.26,26.25
Japón,68.18,17.78,66.74,23.51
Letonia,66.25,13.96,64.52,20.14
Lituania,63.42,16.08,62.96,22.42
Luxemburgo,59.19,23.95,60.11,26.37
México,66.25,15.97,62.53,20.58
N. Zelanda,68.15,17.33,65.80,21.36
Noruega,64.91,19.39,63.11,23.67
OCDE,63.76,19.50,62.44,23.83
P. Bajos,63.88,20.20,62.82,23.50
Polonia,62.20,18.72,60.07,25.12
Portugal,64.91,19.01,63.26,23.95
R. Checa,63.12,18.24,61.47,22.96
R. Unido,63.65,20.22,63.19,22.72
Rusia,61.98,15.31,59.82,22.49
Sudáfrica,60.42,14.19,56.01,21.40
Suecia,65.81,19.00,64.90,22.15
Suiza,65.39,20.04,64.14,23.78
Turquía,60.67,20.15,59.30,25.11
UE-27,62.81,19.49,61.75,23.98
